tick,seconds_in_round,lstm_delta_from_prev,rank,feature,base_feature,is_utility,feature_delta_scaled,coefficient,ridge_delta_contribution
63200,53.5,0.12428206205368042,1,lag_11__CT_place_IVY,CT_place_IVY,False,-11.413163185119629,-0.002521586837247014,0.028779282058949862
63200,53.5,0.12428206205368042,2,lag_11__T_place_TSTAIRS,T_place_TSTAIRS,False,-5.668967247009277,-0.0010624626884236932,0.0060230661818433395
63200,53.5,0.12428206205368042,3,lag_05__CT_place_CONNECTOR,CT_place_CONNECTOR,False,-3.575894832611084,-0.0014952326891943812,0.005346794846841363
63200,53.5,0.12428206205368042,4,lag_07__T_place_BACKOFB,T_place_BACKOFB,False,2.685629367828369,0.0017066627042368054,0.004583463479475747
63200,53.5,0.12428206205368042,5,lag_13__CT_place_CONNECTOR,CT_place_CONNECTOR,False,3.575894832611084,0.0011745319934561849,0.004200002886136367
63200,53.5,0.12428206205368042,6,lag_11__T_kills_last_3s,T_kills_last_3s,False,-3.1681017875671387,-0.0009381171548739076,0.002972050635303425
63200,53.5,0.12428206205368042,7,lag_00__CT2__duck_amount,CT2__duck_amount,False,3.8097944259643555,0.0006520434399135411,0.002484151462869233
63200,53.5,0.12428206205368042,8,lag_14__T_A_site_active_infernos,T_A_site_active_infernos,True,2.9764554500579834,0.0008331476128660142,0.002479826753017847
63200,53.5,0.12428206205368042,9,lag_14__T_B_site_active_infernos,T_B_site_active_infernos,True,2.8273046016693115,0.0007839986938051879,0.0022166031146981374
63200,53.5,0.12428206205368042,10,lag_04__CT_place_CONNECTOR,CT_place_CONNECTOR,False,-3.575894594192505,-0.0006099476013332605,0.0021811083303482914
63200,53.5,0.12428206205368042,11,lag_01__T_place_BACKOFB,T_place_BACKOFB,False,2.685629367828369,0.0007795951678417623,0.0020937036777729234
63200,53.5,0.12428206205368042,12,lag_11__T_place_TSIDEUPPER,T_place_TSIDEUPPER,False,2.5222232341766357,0.0008101887069642544,0.0020434767807727683
63200,53.5,0.12428206205368042,13,lag_11__CT_place_TUNNELS,CT_place_TUNNELS,False,3.060441493988037,0.0006203269585967064,0.0018984743639287593
63200,53.5,0.12428206205368042,14,lag_00__CT_damage_last_5s,CT_damage_last_5s,False,1.460510015487671,0.0012678124476224184,0.0018516527775124803
63200,53.5,0.12428206205368042,15,lag_00__T3__shots_fired,T3__shots_fired,False,1.8167120218276978,0.0009538218146190047,0.0017328195572998556
